[s]	o	p
<https://w3id.org/geochem/1.0/mingroup/29274>	skos:inScheme	grup:conceptscheme
<https://w3id.org/geochem/1.0/mingroup/29274>	rdf:type	skos:Concept
<https://w3id.org/geochem/1.0/mingroup/29274>	skos:exactMatch	<https://www.mindat.org/1:1:29274:0>
<https://w3id.org/geochem/1.0/mingroup/29274>	gcmin:localitycount	3440
<https://w3id.org/geochem/1.0/mingroup/29274>	rdfs:label	Autunite Group
<https://w3id.org/geochem/1.0/mingroup/29274>	schema:additionalType	group
<https://w3id.org/geochem/1.0/mingroup/29274>	skos:broader	strunz:s08_EB
<https://w3id.org/geochem/1.0/mingroup/29274>	dcterm:source	gcmin:smrMindatGroupQuery
<https://w3id.org/geochem/1.0/mingroup/29274>	skos:definition	
<https://w3id.org/geochem/1.0/mingroup/29275>	gcmin:localitycount	18860
<https://w3id.org/geochem/1.0/mingroup/29275>	schema:additionalType	group
<https://w3id.org/geochem/1.0/mingroup/29275>	skos:prefLabel	Baryte Group
<https://w3id.org/geochem/1.0/mingroup/29275>	skos:inScheme	grup:conceptscheme
<https://w3id.org/geochem/1.0/mingroup/29275>	skos:exactMatch	<https://www.mindat.org/1:1:29275:9>
<https://w3id.org/geochem/1.0/mingroup/29275>	skos:broader	strunz:s07
<https://w3id.org/geochem/1.0/mingroup/29275>	skos:altlabel	Barite Group
<https://w3id.org/geochem/1.0/mingroup/29275>	rdfs:label	Baryte Group
<https://w3id.org/geochem/1.0/mingroup/29275>	rdf:type	skos:Concept
<https://w3id.org/geochem/1.0/mingroup/29276>	rdf:type	skos:Concept
<https://w3id.org/geochem/1.0/mingroup/29276>	skos:prefLabel	Beudantite Group
<https://w3id.org/geochem/1.0/mingroup/29276>	skos:broader	<https://w3id.org/geochem/1.0/mingroup/29267>
<https://w3id.org/geochem/1.0/mingroup/29276>	gcmin:localitycount	1166
<https://w3id.org/geochem/1.0/mingroup/29276>	skos:exactMatch	<https://www.mindat.org/1:1:29276:8>
<https://w3id.org/geochem/1.0/mingroup/29276>	skos:inScheme	grup:conceptscheme
<https://w3id.org/geochem/1.0/mingroup/29276>	schema:additionalType	group
<https://w3id.org/geochem/1.0/mingroup/29276>	rdfs:label	Beudantite Group
<https://w3id.org/geochem/1.0/mingroup/29276>	gcmin:normalizedcount	922
<https://w3id.org/geochem/1.0/mingroup/29276>	skos:broader	strunz:s08_BL
<https://w3id.org/geochem/1.0/mingroup/29276>	skos:definition	
<https://w3id.org/geochem/1.0/mingroup/29276>	dcterm:source	gcmin:smrMindatGroupQuery
<https://w3id.org/geochem/1.0/mingroup/29278>	gcmin:localitycount	755
<https://w3id.org/geochem/1.0/mingroup/29278>	schema:additionalType	group
<https://w3id.org/geochem/1.0/mingroup/29278>	skos:prefLabel	Brucite Group
<https://w3id.org/geochem/1.0/mingroup/29278>	skos:inScheme	grup:conceptscheme
<https://w3id.org/geochem/1.0/mingroup/29278>	skos:exactMatch	<https://www.mindat.org/1:1:29278:6>
<https://w3id.org/geochem/1.0/mingroup/29278>	skos:broader	strunz:s04_FE
<https://w3id.org/geochem/1.0/mingroup/29278>	rdfs:label	Brucite Group
<https://w3id.org/geochem/1.0/mingroup/29278>	rdf:type	skos:Concept
<https://w3id.org/geochem/1.0/mingroup/29280>	gcmin:localitycount	1234
<https://w3id.org/geochem/1.0/mingroup/29280>	schema:additionalType	group
<https://w3id.org/geochem/1.0/mingroup/29280>	skos:prefLabel	Chalcanthite Group
<https://w3id.org/geochem/1.0/mingroup/29280>	skos:inScheme	grup:conceptscheme
<https://w3id.org/geochem/1.0/mingroup/29280>	skos:exactMatch	<https://www.mindat.org/1:1:29280:1>
<https://w3id.org/geochem/1.0/mingroup/29280>	skos:broader	strunz:s07_CB
<https://w3id.org/geochem/1.0/mingroup/29280>	rdfs:label	Chalcanthite Group
<https://w3id.org/geochem/1.0/mingroup/29280>	rdf:type	skos:Concept
<https://w3id.org/geochem/1.0/mingroup/29281>	gcmin:localitycount	32083
<https://w3id.org/geochem/1.0/mingroup/29281>	schema:additionalType	group
<https://w3id.org/geochem/1.0/mingroup/29281>	skos:prefLabel	Chalcopyrite Group
<https://w3id.org/geochem/1.0/mingroup/29281>	skos:inScheme	grup:conceptscheme
<https://w3id.org/geochem/1.0/mingroup/29281>	skos:exactMatch	<https://www.mindat.org/1:1:29281:0>
<https://w3id.org/geochem/1.0/mingroup/29281>	skos:broader	strunz:s02_CB
<https://w3id.org/geochem/1.0/mingroup/29281>	rdfs:label	Chalcopyrite Group
<https://w3id.org/geochem/1.0/mingroup/29281>	rdf:type	skos:Concept
<https://w3id.org/geochem/1.0/mingroup/29282>	skos:inScheme	grup:conceptscheme
<https://w3id.org/geochem/1.0/mingroup/29282>	gcmin:localitycount	2355
<https://w3id.org/geochem/1.0/mingroup/29282>	dcterm:source	gcmin:smrMindatGroupQuery
<https://w3id.org/geochem/1.0/mingroup/29282>	rdf:type	skos:Concept
<https://w3id.org/geochem/1.0/mingroup/29282>	skos:definition	
<https://w3id.org/geochem/1.0/mingroup/29282>	schema:additionalType	group
<https://w3id.org/geochem/1.0/mingroup/29282>	skos:prefLabel	Cobaltite Group
<https://w3id.org/geochem/1.0/mingroup/29282>	skos:broader	strunz:s02_EB
<https://w3id.org/geochem/1.0/mingroup/29282>	skos:exactMatch	<https://www.mindat.org/1:1:29282:9>
<https://w3id.org/geochem/1.0/mingroup/29282>	gcmin:normalizedcount	2353
<https://w3id.org/geochem/1.0/mingroup/29282>	rdfs:label	Cobaltite Group
<https://w3id.org/geochem/1.0/mingroup/29284>	skos:definition	
<https://w3id.org/geochem/1.0/mingroup/29284>	gcmin:normalizedcount	564
<https://w3id.org/geochem/1.0/mingroup/29284>	dcterm:source	gcmin:smrMindatGroupQuery
<https://w3id.org/geochem/1.0/mingroup/29284>	skos:inScheme	grup:conceptscheme
<https://w3id.org/geochem/1.0/mingroup/29284>	schema:additionalType	group
<https://w3id.org/geochem/1.0/mingroup/29284>	gcmin:localitycount	690
<https://w3id.org/geochem/1.0/mingroup/29284>	skos:exactMatch	<https://www.mindat.org/1:1:29284:7>
<https://w3id.org/geochem/1.0/mingroup/29284>	rdfs:label	Copiapite Group
<https://w3id.org/geochem/1.0/mingroup/29284>	skos:prefLabel	Copiapite Group
<https://w3id.org/geochem/1.0/mingroup/29284>	skos:broader	strunz:s07_DB
<https://w3id.org/geochem/1.0/mingroup/29284>	rdf:type	skos:Concept
<https://w3id.org/geochem/1.0/mingroup/29285>	skos:broader	strunz:s04
<https://w3id.org/geochem/1.0/mingroup/29285>	skos:broader	<https://w3id.org/geochem/1.0/mingroup/43551>
<https://w3id.org/geochem/1.0/mingroup/29285>	gcmin:localitycount	1381
<https://w3id.org/geochem/1.0/mingroup/29285>	skos:prefLabel	Coronadite Group
<https://w3id.org/geochem/1.0/mingroup/29285>	rdfs:label	Coronadite Group
<https://w3id.org/geochem/1.0/mingroup/29285>	rdf:type	skos:Concept
<https://w3id.org/geochem/1.0/mingroup/29285>	gcmin:normalizedcount	1140
<https://w3id.org/geochem/1.0/mingroup/29285>	dcterm:source	gcmin:smrMindatGroupQuery
<https://w3id.org/geochem/1.0/mingroup/29285>	skos:inScheme	grup:conceptscheme
<https://w3id.org/geochem/1.0/mingroup/29285>	schema:additionalType	group
<https://w3id.org/geochem/1.0/mingroup/29285>	skos:definition	
<https://w3id.org/geochem/1.0/mingroup/29285>	skos:exactMatch	<https://www.mindat.org/1:1:29285:6>
<https://w3id.org/geochem/1.0/mingroup/29288>	gcmin:localitycount	16167
<https://w3id.org/geochem/1.0/mingroup/29288>	skos:broader	strunz:s05_AB
<https://w3id.org/geochem/1.0/mingroup/29288>	rdf:type	skos:Concept
<https://w3id.org/geochem/1.0/mingroup/29288>	dcterm:source	gcmin:smrMindatGroupQuery
<https://w3id.org/geochem/1.0/mingroup/29288>	skos:inScheme	grup:conceptscheme
<https://w3id.org/geochem/1.0/mingroup/29288>	skos:definition	
<https://w3id.org/geochem/1.0/mingroup/29288>	rdfs:label	Dolomite Group
<https://w3id.org/geochem/1.0/mingroup/29288>	gcmin:normalizedcount	14297
<https://w3id.org/geochem/1.0/mingroup/29288>	skos:prefLabel	Dolomite Group
<https://w3id.org/geochem/1.0/mingroup/29288>	schema:additionalType	group
<https://w3id.org/geochem/1.0/mingroup/29288>	skos:exactMatch	<https://www.mindat.org/1:1:29288:3>
<https://w3id.org/geochem/1.0/mingroup/29294>	rdf:type	skos:Concept
<https://w3id.org/geochem/1.0/mingroup/29294>	skos:definition	
<https://w3id.org/geochem/1.0/mingroup/29294>	schema:additionalType	group
<https://w3id.org/geochem/1.0/mingroup/29294>	dcterm:source	gcmin:smrMindatGroupQuery
<https://w3id.org/geochem/1.0/mingroup/29294>	gcmin:localitycount	932
<https://w3id.org/geochem/1.0/mingroup/29294>	rdfs:label	Halotrichite Group
<https://w3id.org/geochem/1.0/mingroup/29294>	skos:broader	strunz:s07_CB
<https://w3id.org/geochem/1.0/mingroup/29294>	gcmin:normalizedcount	758
<https://w3id.org/geochem/1.0/mingroup/29294>	skos:exactMatch	<https://www.mindat.org/1:1:29294:4>
<https://w3id.org/geochem/1.0/mingroup/29294>	skos:prefLabel	Halotrichite Group
<https://w3id.org/geochem/1.0/mingroup/29294>	skos:inScheme	grup:conceptscheme
<https://w3id.org/geochem/1.0/mingroup/29296>	skos:inScheme	grup:conceptscheme
<https://w3id.org/geochem/1.0/mingroup/29296>	schema:additionalType	group
<https://w3id.org/geochem/1.0/mingroup/29296>	skos:prefLabel	Hematite Group
<https://w3id.org/geochem/1.0/mingroup/29296>	dcterm:source	gcmin:smrMindatGroupQuery
<https://w3id.org/geochem/1.0/mingroup/29296>	gcmin:normalizedcount	19782
<https://w3id.org/geochem/1.0/mingroup/29296>	rdfs:label	Hematite Group
<https://w3id.org/geochem/1.0/mingroup/29296>	skos:exactMatch	<https://www.mindat.org/1:1:29296:2>
<https://w3id.org/geochem/1.0/mingroup/29296>	skos:broader	strunz:s04_CB
<https://w3id.org/geochem/1.0/mingroup/29296>	rdf:type	skos:Concept
<https://w3id.org/geochem/1.0/mingroup/29296>	skos:definition	
<https://w3id.org/geochem/1.0/mingroup/29296>	gcmin:localitycount	20166
<https://w3id.org/geochem/1.0/mingroup/29299>	gcmin:localitycount	7478
<https://w3id.org/geochem/1.0/mingroup/29299>	schema:additionalType	group
<https://w3id.org/geochem/1.0/mingroup/29299>	skos:prefLabel	Ilmenite Group
<https://w3id.org/geochem/1.0/mingroup/29299>	skos:inScheme	grup:conceptscheme
<https://w3id.org/geochem/1.0/mingroup/29299>	skos:exactMatch	<https://www.mindat.org/1:1:29299:9>
<https://w3id.org/geochem/1.0/mingroup/29299>	skos:definition	
<https://w3id.org/geochem/1.0/mingroup/29299>	skos:broader	strunz:s04_CB
<https://w3id.org/geochem/1.0/mingroup/29299>	rdfs:label	Ilmenite Group
<https://w3id.org/geochem/1.0/mingroup/29299>	rdf:type	skos:Concept
<https://w3id.org/geochem/1.0/mingroup/29303>	schema:additionalType	group
<https://w3id.org/geochem/1.0/mingroup/29303>	rdfs:label	L÷llingite Group
<https://w3id.org/geochem/1.0/mingroup/29303>	skos:exactMatch	<https://www.mindat.org/1:1:29303:1>
<https://w3id.org/geochem/1.0/mingroup/29303>	skos:inScheme	grup:conceptscheme
<https://w3id.org/geochem/1.0/mingroup/29303>	skos:definition	
<https://w3id.org/geochem/1.0/mingroup/29303>	skos:prefLabel	L÷llingite Group
<https://w3id.org/geochem/1.0/mingroup/29303>	rdf:type	skos:Concept
<https://w3id.org/geochem/1.0/mingroup/29303>	skos:altLabel	Lollingite Group
<https://w3id.org/geochem/1.0/mingroup/29303>	skos:broader	strunz:s02_EB
<https://w3id.org/geochem/1.0/mingroup/29303>	gcmin:localitycount	1938
<https://w3id.org/geochem/1.0/mingroup/29308>	gcmin:localitycount	6879
<https://w3id.org/geochem/1.0/mingroup/29308>	schema:additionalType	group
<https://w3id.org/geochem/1.0/mingroup/29308>	skos:prefLabel	Marcasite Group
<https://w3id.org/geochem/1.0/mingroup/29308>	skos:inScheme	grup:conceptscheme
<https://w3id.org/geochem/1.0/mingroup/29308>	skos:exactMatch	<https://www.mindat.org/1:1:29308:6>
<https://w3id.org/geochem/1.0/mingroup/29308>	skos:definition	
<https://w3id.org/geochem/1.0/mingroup/29308>	skos:broader	strunz:s02_EB
<https://w3id.org/geochem/1.0/mingroup/29308>	rdfs:label	Marcasite Group
<https://w3id.org/geochem/1.0/mingroup/29308>	rdf:type	skos:Concept
<https://w3id.org/geochem/1.0/mingroup/29309>	gcmin:localitycount	1220
<https://w3id.org/geochem/1.0/mingroup/29309>	schema:additionalType	group
<https://w3id.org/geochem/1.0/mingroup/29309>	skos:prefLabel	Melanterite Group
<https://w3id.org/geochem/1.0/mingroup/29309>	skos:inScheme	grup:conceptscheme
<https://w3id.org/geochem/1.0/mingroup/29309>	skos:exactMatch	<https://www.mindat.org/1:1:29309:5>
<https://w3id.org/geochem/1.0/mingroup/29309>	skos:definition	
<https://w3id.org/geochem/1.0/mingroup/29309>	skos:broader	strunz:s07_CB
<https://w3id.org/geochem/1.0/mingroup/29309>	rdfs:label	Melanterite Group
<https://w3id.org/geochem/1.0/mingroup/29309>	rdf:type	skos:Concept
<https://w3id.org/geochem/1.0/mingroup/29311>	skos:inScheme	grup:conceptscheme
<https://w3id.org/geochem/1.0/mingroup/29311>	schema:additionalType	group
<https://w3id.org/geochem/1.0/mingroup/29311>	skos:prefLabel	Meta-autunite Group
<https://w3id.org/geochem/1.0/mingroup/29311>	skos:exactMatch	<https://www.mindat.org/1:1:29311:0>
<https://w3id.org/geochem/1.0/mingroup/29311>	skos:definition	
<https://w3id.org/geochem/1.0/mingroup/29311>	rdfs:label	Meta-autunite Group
<https://w3id.org/geochem/1.0/mingroup/29311>	gcmin:normalizedcount	1052
<https://w3id.org/geochem/1.0/mingroup/29311>	rdf:type	skos:Concept
<https://w3id.org/geochem/1.0/mingroup/29311>	skos:broader	strunz:s08_EB
<https://w3id.org/geochem/1.0/mingroup/29311>	dcterm:source	gcmin:smrMindatGroupQuery
<https://w3id.org/geochem/1.0/mingroup/29311>	gcmin:localitycount	1470
<https://w3id.org/geochem/1.0/mingroup/29313>	schema:additionalType	group
<https://w3id.org/geochem/1.0/mingroup/29313>	rdfs:label	Monazite Group
<https://w3id.org/geochem/1.0/mingroup/29313>	gcmin:localitycount	4474
<https://w3id.org/geochem/1.0/mingroup/29313>	skos:exactMatch	<https://www.mindat.org/1:1:29313:8>
<https://w3id.org/geochem/1.0/mingroup/29313>	skos:inScheme	grup:conceptscheme
<https://w3id.org/geochem/1.0/mingroup/29313>	skos:broader	strunz:s08_AD
<https://w3id.org/geochem/1.0/mingroup/29313>	skos:prefLabel	Monazite Group
<https://w3id.org/geochem/1.0/mingroup/29313>	skos:definition	
<https://w3id.org/geochem/1.0/mingroup/29313>	rdf:type	skos:Concept
<https://w3id.org/geochem/1.0/mingroup/29313>	gcmin:normalizedcount	3135
<https://w3id.org/geochem/1.0/mingroup/29313>	dcterm:source	gcmin:smrMindatGroupQuery
<https://w3id.org/geochem/1.0/mingroup/29316>	gcmin:localitycount	1362
<https://w3id.org/geochem/1.0/mingroup/29316>	schema:additionalType	group
<https://w3id.org/geochem/1.0/mingroup/29316>	skos:prefLabel	Nickeline Group
<https://w3id.org/geochem/1.0/mingroup/29316>	skos:inScheme	grup:conceptscheme
<https://w3id.org/geochem/1.0/mingroup/29316>	skos:exactMatch	<https://www.mindat.org/1:1:29316:5>
<https://w3id.org/geochem/1.0/mingroup/29316>	skos:definition	
<https://w3id.org/geochem/1.0/mingroup/29316>	skos:broader	strunz:s02_CC
<https://w3id.org/geochem/1.0/mingroup/29316>	rdfs:label	Nickeline Group
<https://w3id.org/geochem/1.0/mingroup/29316>	rdf:type	skos:Concept
<https://w3id.org/geochem/1.0/mingroup/29321>	skos:inScheme	grup:conceptscheme
<https://w3id.org/geochem/1.0/mingroup/29321>	skos:broader	strunz:s02_BB
<https://w3id.org/geochem/1.0/mingroup/29321>	rdf:type	skos:Concept
<https://w3id.org/geochem/1.0/mingroup/29321>	dcterm:source	gcmin:smrMindatGroupQuery
<https://w3id.org/geochem/1.0/mingroup/29321>	skos:broader	<https://w3id.org/geochem/1.0/mingroup/55679>
<https://w3id.org/geochem/1.0/mingroup/29321>	skos:prefLabel	Pentlandite Group
<https://w3id.org/geochem/1.0/mingroup/29321>	skos:definition	
<https://w3id.org/geochem/1.0/mingroup/29321>	skos:exactMatch	<https://www.mindat.org/1:1:29321:7>
<https://w3id.org/geochem/1.0/mingroup/29321>	gcmin:localitycount	2144
<https://w3id.org/geochem/1.0/mingroup/29321>	schema:additionalType	group
<https://w3id.org/geochem/1.0/mingroup/29321>	rdfs:label	Pentlandite Group
<https://w3id.org/geochem/1.0/mingroup/29321>	gcmin:normalizedcount	2009
<https://w3id.org/geochem/1.0/mingroup/29327>	gcmin:localitycount	15334
<https://w3id.org/geochem/1.0/mingroup/29327>	schema:additionalType	group
<https://w3id.org/geochem/1.0/mingroup/29327>	skos:prefLabel	Rosasite Group
<https://w3id.org/geochem/1.0/mingroup/29327>	skos:inScheme	grup:conceptscheme
<https://w3id.org/geochem/1.0/mingroup/29327>	skos:exactMatch	<https://www.mindat.org/1:1:29327:1>
<https://w3id.org/geochem/1.0/mingroup/29327>	skos:definition	A group of metal(II) hydroxide carbonate minerals.  Structurally related to malachite.
<https://w3id.org/geochem/1.0/mingroup/29327>	skos:broader	strunz:s05_BA
<https://w3id.org/geochem/1.0/mingroup/29327>	rdfs:label	Rosasite Group
<https://w3id.org/geochem/1.0/mingroup/29327>	rdf:type	skos:Concept
<https://w3id.org/geochem/1.0/mingroup/29330>	gcmin:localitycount	17333
<https://w3id.org/geochem/1.0/mingroup/29330>	schema:additionalType	group
<https://w3id.org/geochem/1.0/mingroup/29330>	skos:prefLabel	Rutile Group
<https://w3id.org/geochem/1.0/mingroup/29330>	skos:inScheme	grup:conceptscheme
<https://w3id.org/geochem/1.0/mingroup/29330>	skos:exactMatch	<https://www.mindat.org/1:1:29330:5>
<https://w3id.org/geochem/1.0/mingroup/29330>	skos:definition	Tetragonal oxides of general formula M4+O2.
<https://w3id.org/geochem/1.0/mingroup/29330>	skos:broader	strunz:s04_D
<https://w3id.org/geochem/1.0/mingroup/29330>	rdfs:label	Rutile Group
<https://w3id.org/geochem/1.0/mingroup/29330>	rdf:type	skos:Concept
<https://w3id.org/geochem/1.0/mingroup/29333>	gcmin:localitycount	26043
<https://w3id.org/geochem/1.0/mingroup/29333>	schema:additionalType	group
<https://w3id.org/geochem/1.0/mingroup/29333>	skos:prefLabel	Sphalerite Group
<https://w3id.org/geochem/1.0/mingroup/29333>	skos:inScheme	grup:conceptscheme
<https://w3id.org/geochem/1.0/mingroup/29333>	skos:exactMatch	<https://www.mindat.org/1:1:29333:2>
<https://w3id.org/geochem/1.0/mingroup/29333>	skos:definition	"The diamond structure has two interpenetrating cubic close packed carbon lattices. Each atom of theses lattices is tetrahedrally coordinated by 4 atoms of the other lattice. If one of these lattices is replaced by cations (A) and the other replaced by anions (X), where X = S, Se, Te we get the sphalerite group.  Although the members can be lab grown as solution series, geochemical segregation usually gives fairly pure end members."
<https://w3id.org/geochem/1.0/mingroup/29333>	skos:broader	strunz:s02_CB
<https://w3id.org/geochem/1.0/mingroup/29333>	rdfs:label	Sphalerite Group
<https://w3id.org/geochem/1.0/mingroup/29333>	rdf:type	skos:Concept
<https://w3id.org/geochem/1.0/mingroup/29337>	skos:inScheme	grup:conceptscheme
<https://w3id.org/geochem/1.0/mingroup/29337>	gcmin:normalizedcount	1192
<https://w3id.org/geochem/1.0/mingroup/29337>	skos:definition	
<https://w3id.org/geochem/1.0/mingroup/29337>	skos:exactMatch	<https://www.mindat.org/1:1:29337:8>
<https://w3id.org/geochem/1.0/mingroup/29337>	dcterm:source	gcmin:smrMindatGroupQuery
<https://w3id.org/geochem/1.0/mingroup/29337>	rdfs:label	Tetradymite Group
<https://w3id.org/geochem/1.0/mingroup/29337>	schema:additionalType	group
<https://w3id.org/geochem/1.0/mingroup/29337>	gcmin:localitycount	1749
<https://w3id.org/geochem/1.0/mingroup/29337>	skos:prefLabel	Tetradymite Group
<https://w3id.org/geochem/1.0/mingroup/29337>	skos:broader	strunz:s02_DC
<https://w3id.org/geochem/1.0/mingroup/29337>	rdf:type	skos:Concept
<https://w3id.org/geochem/1.0/mingroup/29340>	skos:definition	
<https://w3id.org/geochem/1.0/mingroup/29340>	skos:prefLabel	Turquoise Group
<https://w3id.org/geochem/1.0/mingroup/29340>	gcmin:localitycount	796
<https://w3id.org/geochem/1.0/mingroup/29340>	skos:broader	strunz:s08_DD
<https://w3id.org/geochem/1.0/mingroup/29340>	rdfs:label	Turquoise Group
